Note ID	type	de_article	de_word_short	en_word	de_word_full	de_sentence	en_sentence	notes	audio_de_word	audio_de_sentence	tags
B10001	other		und	and	und	Ich habe heute und morgen frei.	I have today and tomorrow off.		 [sound:googletts-bd1be934-66ffa395-13dff9db-07c447ab-f4cfd7a0.mp3]	 [sound:googletts-a6ee1bf5-f4245acf-4af3f7ea-71577b03-a19b2531.mp3]	B1_goethe_other
B10002	other		und	and	und	Ich kaufe ein und mein Mann kocht.	I do the shopping and my husband cooks.		 [sound:googletts-bd1be934-66ffa395-13dff9db-07c447ab-f4cfd7a0.mp3]	 [sound:googletts-6efd4925-a437b857-d82d3c76-afd3bba5-c29ca293.mp3]	B1_goethe_other
B10003	other		in	in, on, to	in + Akkusativ/Dativ	Ich wohne in Frankfurt.	I live in Frankfurt.		 [sound:googletts-4144e632-cf1485bb-0c8a72da-ff0f65f4-a145924b.mp3]	 [sound:googletts-ca7b7b93-a1eead83-7abfc73a-cd7fe58a-5375ddab.mp3]	B1_goethe_other
B10004	other		in	in, on, to	in + Akkusativ/Dativ	Meine Wohnung ist im dritten Stock.	My apartment is on the third floor.		 [sound:googletts-4144e632-cf1485bb-0c8a72da-ff0f65f4-a145924b.mp3]	 [sound:googletts-941c0cd2-f7f45427-189e73ec-5cc858eb-9fc17e1a.mp3]	B1_goethe_other
B10005	other		in	in, on, to	in + Akkusativ/Dativ	Wollen wir heute ins Einkaufszentrum gehen?	Shall we go to the mall today?		 [sound:googletts-4144e632-cf1485bb-0c8a72da-ff0f65f4-a145924b.mp3]	 [sound:googletts-7decae2c-30a6aa63-23bee14a-4e6d0ce9-c4320e50.mp3]	B1_goethe_other
B10006	other		in	in, on, to	in + Akkusativ/Dativ	Rufen Sie bitte in fünf Minuten noch einmal an.	Please call back in five minutes.		 [sound:googletts-4144e632-cf1485bb-0c8a72da-ff0f65f4-a145924b.mp3]	 [sound:googletts-b067a3e6-1cb3f7e9-75a3e528-046b0de0-7ed7a8b6.mp3]	B1_goethe_other
B10007	other		in	in, on, to	in + Akkusativ/Dativ	Im Mai war ich in Urlaub.&nbsp;(D) (A: auf)	I was on vacation in May.		 [sound:googletts-4144e632-cf1485bb-0c8a72da-ff0f65f4-a145924b.mp3]	 [sound:googletts-2af59dcf-663f729e-aa24c513-0242e0b1-a498ff58.mp3]	B1_goethe_other
B10008	other		in	in, on, to	in + Akkusativ/Dativ	Wir sind in einer schwierigen Lage.	We are in a difficult situation.		 [sound:googletts-4144e632-cf1485bb-0c8a72da-ff0f65f4-a145924b.mp3]	 [sound:googletts-3833f97d-e936b653-2a4a19d4-c93cc1de-71c5eb1e.mp3]	B1_goethe_other
B10009	other		in	in, on, to	in + Akkusativ/Dativ	Meine Tochter kommt nächstes Jahr ins Gymnasium.&nbsp;(A) (D: aufs)	My daughter will start grammar school next year.		 [sound:googletts-4144e632-cf1485bb-0c8a72da-ff0f65f4-a145924b.mp3]	 [sound:googletts-4cdbfb43-24bd05a0-61ada135-a438b0a3-9f64bf4f.mp3]	B1_goethe_other
B10010	verb		sein	to be	sein, ist, war, ist gewesen	Ich bin Mechaniker.	I am a mechanic.		 [sound:googletts-7a1d36c5-78d0c259-46af0237-5cd6c741-557cf572.mp3]	 [sound:googletts-58ea7b64-cfde081e-16c8c7cb-39217589-0998aad9.mp3]	B1_goethe_verb
B10011	verb		sein	to be	sein, ist, war, ist gewesen	Das Auto ist jetzt fünfzehn Jahre alt.	The car is now fifteen years old.		 [sound:googletts-7a1d36c5-78d0c259-46af0237-5cd6c741-557cf572.mp3]	 [sound:googletts-4e890b74-9b1333c8-72633eca-4301eac8-4777b36f.mp3]	B1_goethe_verb
B10012	verb		sein	to be	sein, ist, war, ist gewesen	Der Termin beim Zahnarzt ist erst übermorgen.	The dentist&#x27;s appointment is the day after tomorrow.		 [sound:googletts-7a1d36c5-78d0c259-46af0237-5cd6c741-557cf572.mp3]	 [sound:googletts-0fb7db49-2dcd60e0-621455e1-c3a696d1-ef060c67.mp3]	B1_goethe_verb
B10013	verb		sein	to be	sein, ist, war, ist gewesen	Um 11 Uhr ist Pause.	There is a break at 11 o&#x27;clock.		 [sound:googletts-7a1d36c5-78d0c259-46af0237-5cd6c741-557cf572.mp3]	 [sound:googletts-c79848f1-685efc41-a05006cc-9a18c7a2-1ba4a00a.mp3]	B1_goethe_verb
B10014	verb		sein	to be	sein, ist, war, ist gewesen	Herr Müller ist in seinem Zimmer.	Mr. Müller is in his room.		 [sound:googletts-7a1d36c5-78d0c259-46af0237-5cd6c741-557cf572.mp3]	 [sound:googletts-bdd0bfbb-27a7904d-aa1f8f79-24f69c9c-d85506d4.mp3]	B1_goethe_verb
B10015	verb		sein	to be	sein, ist, war, ist gewesen	Das ist schwer zu verstehen.	That is difficult to understand.		 [sound:googletts-7a1d36c5-78d0c259-46af0237-5cd6c741-557cf572.mp3]	 [sound:googletts-7f4a969f-2e8cbcd4-9fb0aed3-d4be9aa5-2ec14e11.mp3]	B1_goethe_verb
B10016	verb		sein	to be	sein, ist, war, ist gewesen	Mir ist kalt.	I&#x27;m cold.		 [sound:googletts-7a1d36c5-78d0c259-46af0237-5cd6c741-557cf572.mp3]	 [sound:googletts-83dbb377-18f2c4a6-a6186a26-758bf306-d13f804c.mp3]	B1_goethe_verb
B10017	other		ein-	a, one	ein-	Ich nehme ein Bier. Willst du auch eins?	I&#x27;ll have a beer. Do you want one too?		 [sound:googletts-1d382778-40009291-cf63fda9-3f41ae77-f783b70c.mp3]	 [sound:googletts-5fc29566-b021af95-af281d66-a47d6fb5-246a9dd1.mp3]	B1_goethe_other
